graph_type,n,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_empirical_mean,pfa_spectral_emp_mean,pfa_spectral_spec_mean,pd_mc_emp_mean,pd_spectral_emp_mean,pd_mc_spec_mean,pd_spectral_spec_mean,degree_cv_mean
random_geometric,60,0.25,2.0,112.48640657006244,112.70321448181592,0.0016014051459053622,0.01,0.01036326436536863,0.010000000000053832,0.8756,0.874711722145497,0.8746,0.8738259315946427,0.32655200895479364
random_geometric,60,0.25,3.0,112.06463582403471,112.4051948671113,0.002960236809786155,0.01,0.01046203502264279,0.010000000000040931,0.99746,0.997997308730733,0.9974000000000001,0.9979000891323342,0.32901755921524006
random_geometric,60,0.35,1.0,216.90460877091772,215.89390573327313,-0.004466570279402162,0.01,0.009342321781890327,0.01000000000079675,0.05348000000000001,0.05380942962098946,0.055600000000000004,0.05649600410520417,0.2874045420436472
random_geometric,60,0.35,1.5,226.15881333754342,225.6960613644077,-0.002067814181962321,0.01,0.00970166705136023,0.01000000000024186,0.19998,0.20148126962788507,0.20295999999999997,0.20437385991500565,0.3228764089471458
random_geometric,60,0.35,2.0,214.8979848016766,214.46168148455018,-0.0016733136577241116,0.01,0.009776887414168212,0.01000000000015262,0.49326,0.4955005491826062,0.49626000000000003,0.49859161250363915,0.30786505943894443
random_geometric,60,0.35,3.0,218.0986845960062,218.8710138168983,0.0037448901070415903,0.01,0.010605294626384298,0.010000000000159538,0.93064,0.929735997509022,0.9289400000000001,0.9279182286243832,0.30759253986277624
random_regular,15,0.15,1.0,2.9731745718573093,2.9784197009153552,0.0018553315101947996,0.01,0.010175227251014173,0.009999999995917963,0.96796,0.9672287955161245,0.96756,0.9668979963863118,0.0
random_regular,15,0.15,1.5,2.971889419300691,2.982456324916737,0.003649259025875016,0.01,0.010324604679671622,0.00999999999820177,0.9999800000000001,0.9999989560165042,0.9999800000000001,0.999998910013527,0.0
random_regular,15,0.15,2.0,2.9809607908501325,2.9838024486800307,0.0011120676632540133,0.01,0.010128232515806834,0.009999999998524745,1.0,0.9999999999999961,1.0,0.9999999999999964,0.0
random_regular,15,0.15,3.0,2.99917545679901,2.9840336555873135,-0.0049321511236792,0.01,0.009630900424565636,0.00999999999859672,1.0,1.0,1.0,1.0,0.0
random_regular,15,0.25,1.0,8.260885864982397,8.284601468046983,0.0029204286883017893,0.01,0.01025278392664769,0.009999999998194509,0.38218,0.38299023721834435,0.37866,0.37976252839996516,0.0
random_regular,15,0.25,1.5,8.329273692217548,8.284464053506891,-0.005230043355824497,0.01,0.009614163678286724,0.00999999999798321,0.8965799999999999,0.896763397074934,0.8997999999999999,0.8996767451109029,0.0
random_regular,15,0.25,2.0,8.300658383815565,8.281494441827112,-0.002209803966343525,0.01,0.009843710921509385,0.009999999997676801,0.99838,0.9985001595991682,0.9985200000000001,0.9985385274947168,0.0
